연도,유동비율(%),부채비율(%),ROA(%),ROE(%),매출액증가율(%),영업이익률(%),순이익률(%),총자산회전율(회),이자보상배율(배)
2020,262.17483038773787,37.06774322305691,6.98184511490266,9.56985753432632,-15.30653663780642,15.199668009797076,11.151626995061479,0.6260830924487147,3.1802174490228223
2021,247.5831629701343,39.921697128885214,9.354306332833122,13.08870417553489,-7.486503386015269,18.466727389754137,14.272805811176367,0.6553936525576634,6.701731988639446
2022,278.85760892113245,26.405921794911997,12.41102485061103,15.688270366610475,724.7008457054503,14.352127456263968,18.41439518387503,0.6739849300876859,2.2796583442161578
2023,258.76647522488673,125.35983733846436,3.3969942662300676,4.258466486542974,-87.81956226587985,17.919353772313354,42.259759104829094,0.08038366375453114,0.519312041488178
2024,243.29933623533063,27.931897811908623,6.695668001552354,8.565895145570622,,10.877077402197314,11.450542626915306,0.5847467862189969,2.520156889694836
